The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.254000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 3.508000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 3.638000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 1.742000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.714000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.784000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 1.493000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.896000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 1, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.558000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.561000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 3.948000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 4.307000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 1.765000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.803000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 4.132000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 2.556000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 4.022000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 3, p = U, s = 1, output = output/parallel_overhead.txt, and everything took 3.361000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 3.615000 time 
The inputs were: n = 8, t = 582, d = 32, w = 200, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 5.047000 time 
The inputs were: n = 13, t = 374, d = 32, w = 200, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 5.001000 time 
The inputs were: n = 1, t = 1310, d = 32, w = 400, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.183000 time 
The inputs were: n = 8, t = 291, d = 32, w = 400, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.883000 time 
The inputs were: n = 13, t = 187, d = 32, w = 400, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.691000 time 
The inputs were: n = 1, t = 655, d = 32, w = 800, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 1.730000 time 
The inputs were: n = 8, t = 145, d = 32, w = 800, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.233000 time 
The inputs were: n = 13, t = 93, d = 32, w = 800, v = 1, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.804000 time 
The inputs were: n = 1, t = 2621, d = 32, w = 200, v = 3, p = U, s = 2, output = output/parallel_overhead.txt, and everything took 2.571000 time 
